Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
3B,,402 North Hite Avenue,Louisville,KY,40206,05/01/2023 09:00,No,Cleaning,Full Unit Sales Clean,High,"Lock box is on apartment door code is 0987.

The front door code is 2212.
",Full Unit Sales Clean,Canceled by manager,TI1HTTIB,,,,,05/01/2023 13:38,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5260195/summary/,,
1,,1221 Homeview Drive,Louisville,KY,40215,05/01/2023 08:59,No,Cleaning,Whole House,High,Please clean house for move-in readiness. Vacant unit. Lockbox code should be 0987. ,Full Unit Clean,Canceled by manager,TH260J3,,,,,05/01/2023 13:36,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5260188/summary/,,
B,,3645 Powell Avenue - B,Louisville,KY,40215,05/01/2023 07:39,No,General,house,Low,"Complete section 8 repairs

Attention service tech: See notes from owner in the chat
",Section 8 Inspection (clone) (clone),Completed,TEIZH0FB,,,05/01/2023 20:30,,,,,,Section 8,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5259879/summary/,,
43,,111 E O'Bryan Avenue-43,Bardstown,KY,40004,04/30/2023 14:29,No,Plumbing,Bathroom,Medium,,"Tenant's commode broke, shower leaks",Completed,TVEXP2FB,,,05/01/2023 16:30,Done ,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5256131/summary/,,
1,,2600 Briargate,Louisville,KY,40216,04/30/2023 12:58,Yes,Plumbing,Kitchen,Medium,Our kitchen sink drain is leaking into the lower cabinet.,Kitchen sink drain,Completed,TBJ0I0D,05/01/2023 14:34,,05/02/2023 08:00,,,,,,,,,Mike Guelda,,,05/02/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5255948/summary/,,
1,,9801 Cooper Church Drive,Louisville,KY,40229,04/29/2023 19:45,No,Doors,Basement,Medium,White Basement door rotting,Basement door rotting,Completed,TRZ7PPJ,05/17/2023 15:37,,05/18/2023 08:00,,,,,5,New Move IN,05/18/2023 12:55,,Mike Guelda,,,05/18/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5254886/summary/,,
1,,9801 Cooper Church Drive,Louisville,KY,40229,04/29/2023 19:44,No,Exterior,Side of house,Medium,Siding and gutter ripping off house during storm last night,Siding is falling/ripping off house,Completed,THTR4H9,05/03/2023 13:58,,05/03/2023 16:45,,,,,,,,,"Anytime Roofing & Repairs, LLC",,05/03/2023 13:58,05/03/2023 12:45,https://app.propertymeld.com/1912/m/1912/meld/5254883/summary/,,
1,,1072 Eastern Parkway,Louisville,KY,40217,04/29/2023 09:17,No,Other,APARTMENT,Medium,"1. dryer is still tearing up our clothing, needs to be replaced, as it cannot be fixed. 
2. water still leaking in the basement anytime it rains
3. light fixture in basement room is shorting out, this is a fire hazard
4. one set of blinds in dining room still not working
5. light by front door still inoperable
6. ceiling fan upstairs shakes a lot when the fan is on, this is in the added room that is not able to be cooled using ghr HVAC system and so this room is hot hot hot without the fan on
7. broken wood on stairs still not fixed
8. water on fridge still not working
9. dishwasher still doesn't clean dishes so we are not able to use it
10. fridge is tiled back (not level) and everything in the rear of the fridge is freezing (this needs to be corrected unless you'd like to pay to replace fruit, veggies, eggs, etc that freeze in the fridge and then have to be thrown away.
11. water pressure in the upstairs bathroom and kitchenette is NIL - it appears that something is wrong with the control valve in the shower (if will not pull all the way up) and this keeps all the water from going out of the shower, as water is still running through the faucet - however, the sink never has an pressure at all and the water is a slow but small stream (unable to effectively wash hands).",Multiple Issues,Completed,TKHP6TV,05/12/2023 19:07,,05/16/2023 08:00,,,,,,,,,Mike Guelda,,,05/16/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5253580/summary/,,
131,,4524 Winnrose Way 131,Louisville,KY,40211,04/28/2023 20:27,No,Heating/AC,APARTMENT,High,"Heat won't cut off through the thermostat. it's kept blowing since last night.
The service tech was there today and he took care of it. But now the heat is not working at all. There might be an issue with the thermostat. ",Heat won't cut off (clone) (clone),Completed,TXKMMY5,04/29/2023 08:55,,04/29/2023 15:59,,,,,,,,,Allstate Mechanical,,04/29/2023 08:55,,https://app.propertymeld.com/1912/m/1912/meld/5252878/summary/,,
1,,4909 Saddlebrook Lane - 1,Louisville,KY,40216,04/28/2023 20:02,No,Other,Mailbox,Medium,Tenant is requesting for a mailbox key. ,Key (clone),Completed,T8C42YKB,05/01/2023 14:50,,05/02/2023 11:00,,,,,,,,,Mike Guelda,,,05/02/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5252826/summary/,,
1,,1717 Arlington Ave,Louisville,KY,40206,04/28/2023 18:22,No,Doors,entrance,Medium,"the front door is old and starting to rot. Not secure, per tenant.",Front door (clone),Canceled by manager,T5GG0LGB,04/28/2023 18:22,,,,05/01/2023 12:44,This is a duplicate. There is one open already.,,,,,,Jonathan Guyton,,,05/02/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5252445/summary/,,
1,,4909 Saddlebrook Lane - 1,Louisville,KY,40216,04/28/2023 17:46,No,Plumbing,Bathroom,Medium,Bathtub and Toilet are backed up. The sewer is coming out of the toilet and tub. ,Toilet & Bathtub,Completed,T8FL6RJ,04/28/2023 18:21,,04/28/2023 18:45,"04/28/23 07:49 PM by James Scoggins
Upon entering unit 1, I noticed sewage inside the tub and toilet. Used clean out beside the toilet was a fight, but finally got it unclogged and ran water for several minutes before cleaning up.",,,,,,,,Dixie Plumbing,,04/28/2023 18:21,04/28/2023 18:45,https://app.propertymeld.com/1912/m/1912/meld/5252288/summary/,,
1,,254 Eldorado Avenue,Louisville,KY,40218,04/28/2023 17:28,No,Plumbing,Bathroom,Medium,Bath tub is draining slowly.,Bath tub,Completed,TVTLKGG,05/01/2023 08:52,,05/01/2023 11:00,"05/01/23 01:29 PM by Jon Greenwell
The tub was draining slow. Used a plunger and thrift in tub. The tub was still draining slow. Got sink machine. Before using the machine the drain opened up. It is draining properly now",,,,,,,,Dixie Plumbing,,05/01/2023 08:52,05/01/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5252184/summary/,,
1,,819 1/2 Beecher Street,Louisville,KY,40215,04/28/2023 16:20,No,Other,Bathroom,Low,"Spanish speaking tenants. States that ants are coming through the gap in the wall. Last time the issue was addressed, the sealant used didn't stick.",Bathroom has gap between bathtub and wall,Completed,TEQ9WM4,05/05/2023 17:01,,05/09/2023 10:00,,,,,,,,,Jonathan Guyton,,,05/09/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5251679/summary/,,
4,,1429 Nightingale Road - 4,Louisville,KY,40213,04/28/2023 16:16,No,Other,APARTMENT,Medium,sink is rusted by the faucet to the point that the faucet is no longer secure.,Sink repair,Completed,TJ9NVAJB,05/05/2023 16:55,,05/09/2023 08:00,,,,,,,,,Mike Guelda,,,05/09/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5251644/summary/,,
3,,2515 Dixie Highway - 3,Shively,KY,40216,04/28/2023 15:17,Yes,Appliances,Fridge,Low,The seal keeps coming off.,Refrigerator  (clone),Completed,TXZVL2IB,05/05/2023 17:14,,05/10/2023 11:00,,,,,,,,,Mike Guelda,,,05/10/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5251206/summary/,,
4,,2513 Dixie Highway - 4,Louisville,KY,40216,04/28/2023 15:07,No,Appliances,Kitchen,High,"Res caught stove on fire, not sure how much damage- YES we have permission to go in- Spanish Speaking",Stove caught fire,Completed,T85PQV2,05/01/2023 14:36,,05/02/2023 10:00,,,,,,,,,Mike Guelda,,,05/02/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5251135/summary/,,
211,,1743 Culbertson Avenue,New Albany,IN,47150,04/28/2023 14:58,No,Electrical,laundry room,Medium,cancel maintenance not needed,dryer not working,Canceled by manager,T11Y4ZK,,,,,04/28/2023 15:01,duplicate work order,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5251069/summary/,,
1,,2209 7th Street Road - 1,Louisville,KY,40208,04/28/2023 13:33,No,Doors,Door,Low,Front screen door is off the hinges.,Front screen door,Canceled by manager,T6AAUNB,,,,,06/02/2023 14:12,Added to the meld TMI5WPJB,,,"Schedule- ASAP,Multi-West End",,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5250400/summary/,,
1,,7729 Bluebonnet Rd,Louisville,KY,40258,04/28/2023 12:40,No,Flooring,Kitchen,Medium,"The kitchen floor is coming up. 
The sub floor underneath is raised and uneven which caused it to split.

Dishwasher not drying dishes at all and leaving white film on dishes",Floor & Dishwasher not working properly (clone),Canceled by manager,TPH5F4T,,,,,04/28/2023 13:03,Flooring crew is taking care of this,,,Owner Approved,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5249906/summary/,,
1,,1232 Carrico Avenue,Louisville,KY,40215,04/28/2023 12:17,No,General,kitchen,High,"We need to reinstall the chandelier in the kitchen. 
The one on the second floor was reinstalled and the owner wants us to make sure it was done properly. 
First floor chandelier needs to be reinstalled
All tv mounts need to be removed (drywall does NOT need to be repaired)",Reinstall chandelier in kitchen,Completed,TXBBZIF,04/28/2023 18:01,,05/01/2023 08:00,,,,,,,,,Jonathan Guyton,,,05/01/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5249650/summary/,,
112,,4522 Winnrose Way 112,Louisville,KY,40211,04/28/2023 11:45,No,Electrical,porch,Low,Porch light globe needs to be replaced,Porch light,Completed,T6K34LN,,,04/28/2023 13:30,,,,,5,,04/30/2023 15:58,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5249399/summary/,,
3,,216 East 13th Street- 3,New Albany,IN,47150,04/28/2023 11:13,No,Other,unit,Low,Front door deadbolt needs to be adjusted,Front door,Completed,THUPYM4,04/28/2023 17:54,,05/01/2023 13:00,,,,,,Section 8,,,Mike Guelda,,,05/01/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/5249146/summary/,,
109,,4522 Winnrose Way 109,Louisville,KY,40211,04/28/2023 11:05,No,Electrical,Exterior,Low,Porchlight repairs,Porch Light,Completed,TFBMV0F,,,04/28/2023 12:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5249090/summary/,,
127,,4524 Winnrose Way 127,Louisville,KY,40211,04/28/2023 10:51,No,Other,Exterior,Low,Milbox and front door repairs. ,Mailbox & Front Door,Completed,TA8QHLR,,,04/28/2023 17:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5248954/summary/,,
2,,2322 West Chestnut Street - 2,Louisville,KY,40211,04/28/2023 10:00,No,Heating/AC,Utility Room,Low,"Water heater is not working. She doesn't know how to light the pilot. 
Water is dripping in the kitchen sink faucet. ",Water heater is not working,Completed,TI5346P,,,04/28/2023 18:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5248578/summary/,,
13,,1743 Culbertson Avenue,New Albany,IN,47150,04/28/2023 09:44,Yes,Other,Unit,Medium,there is still water coming from the upstairs unit to her bathroom. Wood under the sink needs to be replaced. It's also attracting roaches she's requested pest control due to this.,Multiple issue,Completed,T41LWUIB,05/05/2023 16:17,,05/08/2023 13:00,,,,,,,,,Mike Guelda,,,05/08/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/5248472/summary/,,
109,,4522 Winnrose Way 109,Louisville,KY,40211,04/28/2023 09:24,No,Plumbing,bathroom,Low,"Bathroom sink is not draining
Front door needs a door sweep
Bathroom flooring needs to be looked at.
Please check the outside light, the tenant is requesting a globe on the outside light",Bathroom sink & Light,Completed,TCE695Q,05/03/2023 12:58,,05/04/2023 10:30,,,,,,,,,Albert Hardesty,,,05/04/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5248351/summary/,,
131,,4524 Winnrose Way 131,Louisville,KY,40211,04/28/2023 09:09,No,Heating/AC,APARTMENT,High,Heat won't cut off through the thermostat. it's kept blowing since last night.,Heat won't cut off (clone),Completed,TP7NIQGB,,,04/28/2023 15:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5248260/summary/,,
1,,3918 Baymeadow Dr.,Louisville,KY,40258,04/28/2023 08:02,Yes,Appliances,Kitchen,Low,"Dishwasher will not drain water.
The timer and drain pump are bad
There is also a hole in the rubber seal",Dishwasher  (clone),Completed,TLN4Q7GB,,,04/28/2023 10:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5247976/summary/,,
1,,254 Eldorado Avenue,Louisville,KY,40218,04/28/2023 06:52,No,Plumbing,Bathroom/front door,Medium,"Bath tub is draining slow, deadbolt is sticking and difficult to lock",Bath tub/front door lock,Completed,TWT0UIBB,,,04/28/2023 17:14,,,,,,,,,Mike Guelda,,,,https://app.propertymeld.com/1912/m/1912/meld/5247658/summary/,,
1,,9002 Whippoorwill Road,Louisville,KY,40229,04/27/2023 23:25,Yes,General,Kitchen,Medium,Kitchen cabinet shelf missing piece to hold up shelf so currently unable to put any thing on top shelf,Kitchen cabinet shelf missing piece,Completed,TCMU37KB,04/28/2023 18:17,,05/09/2023 14:30,,,,,,,,,Jonathan Guyton,,,05/09/2023 14:30,https://app.propertymeld.com/1912/m/1912/meld/5247446/summary/,,
2,,4408 S. 1st. St-2,Louisville,KY,40214,04/27/2023 19:13,No,Cleaning,Full Unit Sales Clean,High,Code 0987 or V key,Full Unit Sales Clean (clone),Pending vendor acceptance,TT07GLKB,,,,,,,,,,,,Garcias cleaning llc ,,,,https://app.propertymeld.com/1912/m/1912/meld/5246833/summary/,,
1,,3245 Larkwood Avenue,Louisville,KY,40212,04/27/2023 18:35,No,Cleaning,Full Unit Sales Clean,High,Code 1978,Full Unit Sales Clean,Pending completion,T3P1396,05/01/2023 10:31,,,,,,,,,,,Garcias cleaning llc ,,05/01/2023 10:31,05/05/2023 15:00,https://app.propertymeld.com/1912/m/1912/meld/5246659/summary/,,
3,,2718 Rockford Lane - 3,Louisville,KY,40216,04/27/2023 18:21,No,Heating/AC,Hallway ,Medium,"Tenant has been without heat for 2 days, he has paid his LG&E bill but he is not sure what is going on. ",furnace not working ,Completed,T1DQTPE,04/28/2023 08:34,,05/02/2023 11:48,,,,,,,,,Allstate Mechanical,,04/28/2023 08:34,,https://app.propertymeld.com/1912/m/1912/meld/5246575/summary/,,
B,,3645 Powell Avenue - B,Louisville,KY,40215,04/27/2023 16:50,No,General,house,Low,"Complete section 8 repairs

Attention service tech: See notes from owner in the chat
",Section 8 Inspection (clone),Completed,T6XZUNE,04/27/2023 16:51,,04/28/2023 17:30,,,,,,Section 8,,,Albert Hardesty,,,04/28/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5245961/summary/,,
3,,2718 Rockford Lane - 3,Louisville,KY,40216,04/27/2023 16:21,No,Heating/AC,Hallway ,Medium,"Tenant has been without hot water for 2 days, he has paid his LG&E bill but he is not sure what is going on. ",Hot water ,Completed,TEHIHDR,04/28/2023 09:55,,04/28/2023 10:00,"04/28/23 10:17 AM by Derrick Norberg
At arrival found water heater unlit, relit water and manually cycled to ensure operation. Heater operating properly at departure.",,,,,,,,Dixie Plumbing,,04/28/2023 09:55,04/28/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5245702/summary/,,
1,,333 Mechanic Street,Jeffersonville,IN,47130,04/27/2023 16:21,Yes,Exterior,By driveway,Medium,,trees on power line,Canceled by manager,TXP9LBN,,,,,04/27/2023 16:48,Utility company will take care of this.,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5245697/summary/,,
1,,1146 Lincoln Avenue,Louisville,KY,40208,04/27/2023 15:54,No,Appliances,Kitchen,Low,Resident reported he suspects that the refrigerator is going out.,Refrigerator going out,Completed,TE2TJX8,04/28/2023 18:09,,05/01/2023 11:00,,,,,,,,,Jonathan Guyton,,,05/01/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5245466/summary/,,
108,,1743 Culbertson Avenue Apt 108,New Albany,IN,47150,04/27/2023 15:47,No,Cleaning,unit 108,Low,Unit needs to be trashed out,Trash out,Completed,TWT2F8Y,05/01/2023 09:59,,05/01/2023 14:00,,,,,,,,,Garcias cleaning llc ,,05/01/2023 09:59,05/01/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5245408/summary/,,
1,,4903 Saddlebrook Lane - 1,Louisville,KY,40216,04/27/2023 15:45,Yes,Doors,unit,Medium,Large gap under the front door. Tenant reported that it's still not fixed.,Front door,Canceled by manager,TKG7AMBB,,,,,05/25/2023 18:59,Added to the meld TD6KALP,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5245394/summary/,,
3,,1743 Culbertson Avenue,New Albany,IN,47150,04/27/2023 15:42,No,Cleaning,unit 3,Low,"Unit needs to be trashed out

V key
Lock box 0987",Trash out,Completed,TGR62UMB,05/01/2023 10:05,,05/01/2023 10:30,,,,,,,,,Garcias cleaning llc ,,05/01/2023 10:05,05/01/2023 10:30,https://app.propertymeld.com/1912/m/1912/meld/5245368/summary/,,
1,,2463 Lindbergh Drive,Louisville,KY,40208,04/27/2023 15:24,Yes,Garage Door,Backyard,Medium,Door is off track,Garage door came off track,Pending more management availability,TKQE3T1,,,,,,,,,"Schedule- ASAP,Waiting on Estimate,SFH - West",,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5245160/summary/,,
2430-208,,2430 McKindree Ct-208,Louisville,KY,40211,04/27/2023 14:07,No,Other,"Bathroom, Kitchen, Back Bedroom",Low,"Shower knob falls off. The floor in the kitchen, in front of the fridge, is coming up. There is also a hole in the back bedroom next to the window.
Kitchen light switch is not working
Kitchen cabinets are falling out off the wall
Toilet paper roll needs to be fixed.
AC fan is going out.",Multiple Issues,Pending more management availability,TEYEYWX,05/24/2023 11:42,,,,,,,,Broadway Place,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5244441/summary/,,
127,,4524 Winnrose Way 127,Louisville,KY,40211,04/27/2023 13:20,No,Locks,mailbox,Low,She said the key she was given for the mailbox does not work,Mailbox key,Canceled by manager,TVLR6XJ,,,,,06/02/2023 14:10,This was taken care of under another work order. Mailbox door was replaced.,,,"New Move IN,Multi-West End",,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5244006/summary/,,
4,,12613 East Orell Road - 4,Louisville,KY,40272,04/27/2023 13:07,No,Cleaning,Apartment,Low,"Please clean entire unit for move-in readiness. All units and entry doors are on a ""V"" key.",Full Unit Clean,Completed,T71RP9K,05/01/2023 10:05,,05/04/2023 12:00,,,,,,,,,Garcias cleaning llc ,,05/01/2023 10:05,05/04/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5243901/summary/,,
3,,12613 East Orell Road - 3,Louisville,KY,40272,04/27/2023 13:06,No,Cleaning,Apartment,Low,"Please clean entire unit for move-in readiness. All units and entry doors are on a ""V"" key.",Full Unit Clean,Completed,TM6XBJW,05/01/2023 10:05,,05/04/2023 11:15,,,,,,,,,Garcias cleaning llc ,,05/01/2023 10:05,05/04/2023 11:15,https://app.propertymeld.com/1912/m/1912/meld/5243892/summary/,,
2,,12613 East Orell Road - 2,Louisville,KY,40272,04/27/2023 13:05,No,Cleaning,Apartment,Low,"Please clean entire unit for move-in readiness. All unit and entry doors are on a ""V"" key. ",Full Unit Clean,Completed,TN7PMKP,05/01/2023 10:02,,05/04/2023 10:00,,,,,,,,,Garcias cleaning llc ,,05/01/2023 10:02,05/04/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5243883/summary/,,
1,,12613 East Orell Road - 1,Louisville,KY,40272,04/27/2023 13:03,No,Cleaning,Apartment,Low,Please clean entire unit for move-in readiness. PLEASE ALSO CLEAN COMMON HALLWAY AREA. ,Full Unit Clean,Canceled by manager,TPARM4D,05/01/2023 10:02,,,,05/16/2023 13:07,not completed,,,,,,Not assigned,,,05/04/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5243873/summary/,,
229,,4524 Winnrose Way 229,Louisville,KY,40211,04/27/2023 12:55,No,General,unit 229,Low,"Section 8 inspection is scheduled for May 1st

Please complete necessary repairs ",Section 8 ,Completed,TRHWKL2,04/27/2023 17:35,,04/28/2023 13:00,,,,,,,,,Albert Hardesty,,,04/28/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5243786/summary/,,
1,,4217 Grand Avenue,Louisville,KY,40211,04/27/2023 11:50,No,Plumbing,kitchen,Low,Kitchen sink is clogged,Kitchen sink clog,Completed,T46G2KJ,04/27/2023 11:51,,04/28/2023 08:00,"05/02/23 10:24 AM by Tim Peterson
Kitchen sink was holding water upon arrival. Cabled kitchen sink drain about 20ft. Ran water for several minutes. Cleaned work area. Draining properly at this time.",,,,,New Move IN,,,Dixie Plumbing,,04/27/2023 11:51,04/28/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5243064/summary/,,
1,,420 East Ormsby Avenue,Louisville,KY,40203,04/26/2023 22:27,No,Other,APARTMENT,Medium,"kitchen cabinet door off one hinge
Bedroom One light fixture is hanging by wires
Bedroom Three lights wont come on (tenant says she changed bulbs)
Smoke alarms X2 need AA batteries
backyard fence is damaged from storm and leaning onto tree",Multiple Issues (clone),Completed,T76JBHNB,,,05/09/2023 15:30,,,,,,"Renewal Repairs,Waiting on Owner Approval",,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5240931/summary/,,
A15,,4604 Southern Parkway - A15,Louisville,KY,40214,04/26/2023 20:14,No,Other,APARTMENT,Medium,"replace the tile in my kitchen and fix the tile and hot tub in my bathroom ( need calk around) in the space in the middle of the hot tub and my sink and the grill in the AC exit the shock need to be redone. 
 AC heater it's Blowing hot air again instead of cold air.",Multiple Issues,Completed,TN1D4F8,05/06/2023 16:54,,05/08/2023 15:00,,,,,,,,,Albert Hardesty,,,05/08/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/5240620/summary/,,
1,,3541 Lisbon ln,Louisville,KY,40218,04/26/2023 18:25,No,Appliances,Kitchen,Medium,"Fridge is not working. Sometimes it works but sometimes it won't. Need to send someone to fix the fridge.
Because of this, he bought his own fridge as well. 
",Fridge,Canceled by manager,TWX6H6W,,,,,04/27/2023 12:36,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5240165/summary/,,
2,,8801 Malvern Hill Road - 2,Louisville,KY,40242,04/26/2023 17:55,No,Plumbing,Bathroom,Low,Shower faucet repairs.,Shower Faucet,Completed,TJG63DX,,,04/26/2023 18:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5239971/summary/,,
1,,420 East Ormsby Avenue,Louisville,KY,40203,04/26/2023 17:21,No,Appliances,Hallway,Medium,"Hot water heater not working , water not getting hot",Hot water heater not working,Completed,THPEPD7,,,04/26/2023 21:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5239721/summary/,,
9,,160 West Blue Lick Road - 9,Shepherdsville,KY,40165,04/26/2023 16:34,No,Heating/AC,unit 9,Low,"HVAC needs to be checked and clean

Section 8 inspection coming up
",Hvac ,Completed,TD6JXLG,04/27/2023 07:47,,04/27/2023 11:56,,,,,,Vacant,,,Allstate Mechanical,,04/27/2023 07:47,,https://app.propertymeld.com/1912/m/1912/meld/5239348/summary/,,
3,,253 Cecil Avenue - 3,Louisville,KY,40212,04/26/2023 16:15,No,General,unit 3,Low,Complete necessary repairs needed for section 8,Section 8 (clone),Completed,TEJC4JJ,04/26/2023 16:15,,05/02/2023 17:00,,,,,,Section 8,,,Albert Hardesty,,,05/02/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5239182/summary/,,
2319,,2319 Rodman,Louisville,KY,40208,04/26/2023 16:07,No,Cleaning,unit 2319,Low,Unit needs to be trashed out,Trash out,Pending completion,T7E0V4KB,05/01/2023 09:59,,,,,,,,Vacant,,,Garcias cleaning llc ,,05/01/2023 09:59,05/01/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5239112/summary/,,
5,,111 E O'Bryan Avenue - 5,Bardstown,KY,40004,04/26/2023 15:16,No,Plumbing,Bathroom,Medium,"The tub is not draining properly and the exhaust fan does not work. Please repair before move-in on 4/28/23. It is on a ""D"" key.  Thank you. ",Tub not draining & Exhaust fan not working,Completed,TY3RV8W,,04/27/2023,04/27/2023 10:30,Done ,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5238647/summary/,,
1,,2511 Dixie Highway - 1,Louisville,KY,40216,04/26/2023 15:13,No,Cleaning,By dumpsters,Low,Please dispose of trash/furniture left by and around dumpsters,Trash Clean Up,Completed,TF8NRJB,05/01/2023 09:56,,05/01/2023 10:15,,,,,,,,,Garcias cleaning llc ,,05/01/2023 09:56,05/01/2023 10:15,https://app.propertymeld.com/1912/m/1912/meld/5238617/summary/,,
2,,2613 West Main Street - 2,Louisville,KY,40212,04/26/2023 15:12,No,Cleaning,Alleyway,Low,Please dispose of trash left on property near alley,Trash Pick up,Canceled by manager,TH4G8LMB,,,,,04/26/2023 15:19,Owner is taking care of this,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5238612/summary/,,
4,,1429 Nightingale Road - 4,Louisville,KY,40213,04/26/2023 14:32,No,Other,APARTMENT,Medium,"sink is rusted by the faucet to the point that the faucet is no longer secure.
CO detector chirps even after battery is replaced (no longer working??)
Bathtub surface is chipped and rusting
Previous bathtub re-surface has deteriorated and continuously chips paint into bath water.",Multiple Issues,Completed,T1M2N0FB,04/27/2023 17:55,,04/28/2023 12:00,,,,,,Renewal Repairs,,,Mike Guelda,,,04/28/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5238240/summary/,,
5B,,402 North Hite Avenue,Louisville,KY,40206,04/26/2023 14:31,No,Other,APARTMENT,Medium,"no smoke detectors in unit (probably tenant removed)
Attic access panel is severely warped and there are visible gaps around edges
Bathtub latch to plug water does not stay open, so tenant needs duct tape to allow water to drain
Tub has a rusting chip in surface
Bathroom wall was patched at some point , but was not painted (so looks bad)",Multiple Issues,Completed,TJMEPTW,04/27/2023 17:50,,04/28/2023 10:00,,,,,,Renewal Repairs,,,Mike Guelda,,,04/28/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5238225/summary/,,
2A,,402 North Hite Avenue,Louisville,KY,40206,04/26/2023 14:29,No,Other,APARTMENT,Medium,"Toilet flapper inside tank is not sealing, which will cause a high water bill
attic access panel is warped and there are visible gaps around edges
Back door is built with thin panels which are deteriorated showing gaps to outside. Tenant is concerned someone can easily break through
Bottom drawer in kitchen cabinet does not function (open). Tenant wishes he could have full use of this cabinet space to store pots",Multiple Issues,Completed,TBMCUG3,04/27/2023 17:41,,04/28/2023 08:00,,,,,,,,,Mike Guelda,,,04/28/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5238205/summary/,,
1,,103 West Kentucky Street - 1,Louisville,KY,40203,04/26/2023 14:11,No,Cleaning,Full Unit Sales Clean,Low,Code 0987,Full Unit Sales Clean,Completed,T8NF11D,05/01/2023 09:56,,05/02/2023 11:30,,,,,,,,,Garcias cleaning llc ,,05/01/2023 09:56,05/02/2023 11:30,https://app.propertymeld.com/1912/m/1912/meld/5238055/summary/,,
